m,n,k,ms,torch_ms,speedup
512,4096,4096,0.05902601926795487,0.05651244442496035,0.9574158163777928
2048,4096,4096,0.18888967099425558,0.20250645653462745,1.0720885661386217
8192,4096,4096,0.7345500324593216,0.8673506214700896,1.1807917543290318
8192,8192,8192,2.996734775029696,3.278714265142168,1.0940955777808792
32768,4096,8192,6.051918951670329,6.358433961868286,1.0506475735458023
65536,4096,8192,12.868082046508789,12.355323791503906,0.9601527054963099
